longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,predicted_house_value,abs_error,pct_error
-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,66300.0,INLAND,103838.0,37538.0,56.618401206636506
-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,93800.0,INLAND,83735.0,10065.0,10.730277185501066
-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,350000.0,NEAR OCEAN,401855.3,51855.29999999999,14.815799999999996
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,248900.0,<1H OCEAN,191612.0,57288.0,23.01647247890719
-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,500001.0,NEAR OCEAN,500001.0,0.0,0.0
-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,170100.0,NEAR OCEAN,170020.0,80.0,0.047031158142269255
-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,346800.0,NEAR BAY,416778.18,69978.18,20.17825259515571
-122.47,38.29,14.0,3732.0,846.0,1277.0,775.0,2.5658,208000.0,NEAR BAY,193861.0,14139.0,6.797596153846154
-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,435700.0,NEAR BAY,392079.02,43620.97999999998,10.011700711498733
-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,164400.0,<1H OCEAN,146818.0,17582.0,10.694647201946472
-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,142600.0,NEAR OCEAN,158066.0,15466.0,10.845722300140253
-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,500001.0,<1H OCEAN,480113.76,19887.23999999999,3.977440045119908
-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,294100.0,NEAR OCEAN,277497.0,16603.0,5.645358721523292
-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,349600.0,NEAR OCEAN,343110.01,6489.989999999991,1.8564044622425602
-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,209200.0,INLAND,172156.0,37044.0,17.707456978967496
-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,147200.0,<1H OCEAN,143441.0,3759.0,2.5536684782608696
-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,55000.0,INLAND,167270.15,112270.15,204.12754545454544
-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,180800.0,INLAND,160382.0,20418.0,11.293141592920355
-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,162900.0,<1H OCEAN,208084.0,45184.0,27.737262124002456
-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,397000.0,NEAR BAY,493373.93,96373.93,24.275549118387907
-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,373400.0,NEAR OCEAN,299143.0,74257.0,19.88671665773969
-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,255900.0,<1H OCEAN,282006.0,26106.0,10.201641266119578
-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,193700.0,<1H OCEAN,204671.0,10971.0,5.663913267940114
-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,149700.0,<1H OCEAN,151247.0,1547.0,1.0334001336005345
-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,421600.0,<1H OCEAN,465497.53,43897.53000000003,10.412127609108165
-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,174800.0,INLAND,178614.0,3814.0,2.1819221967963385
-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,154200.0,<1H OCEAN,140976.0,13224.0,8.575875486381324
-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,178400.0,<1H OCEAN,158168.0,20232.0,11.340807174887892
-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,185400.0,NEAR OCEAN,237486.0,52086.0,28.093851132686083
-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,51600.0,INLAND,56487.0,4887.0,9.470930232558139
-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,150400.0,INLAND,169109.0,18709.0,12.439494680851064
-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,279900.0,<1H OCEAN,201255.0,78645.0,28.097534833869236
-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,182100.0,<1H OCEAN,173782.0,8318.0,4.56781987918726
-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,73100.0,INLAND,84754.0,11654.0,15.942544459644322
-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,331500.0,<1H OCEAN,314996.0,16504.0,4.978582202111614
-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,361900.0,INLAND,203743.0,158157.0,43.70185134014921
-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,238300.0,<1H OCEAN,243766.01,5466.010000000009,2.293751573646668
-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,169800.0,<1H OCEAN,230589.02,60789.01999999999,35.80036513545347
-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,500001.0,NEAR OCEAN,335168.18,164832.82,32.96649806700387
-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,213000.0,<1H OCEAN,215865.0,2865.0,1.3450704225352113
-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,84800.0,INLAND,105520.0,20720.0,24.433962264150942
-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,290000.0,NEAR OCEAN,330376.21,40376.21000000002,13.922831034482765
-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,180000.0,NEAR BAY,190807.0,10807.0,6.0038888888888895
-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,97200.0,<1H OCEAN,107360.0,10160.0,10.452674897119342
-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,73800.0,INLAND,70807.0,2993.0,4.055555555555555
-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,150700.0,NEAR OCEAN,178050.0,27350.0,18.148639681486397
-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,128000.0,<1H OCEAN,114408.0,13592.0,10.61875
-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,165100.0,NEAR OCEAN,175792.01,10692.01000000001,6.476081162931563
-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,101400.0,<1H OCEAN,112595.0,11195.0,11.04043392504931
-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,432800.0,<1H OCEAN,394599.09,38200.909999999974,8.826457948243986
-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,215200.0,NEAR OCEAN,263338.08,48138.080000000016,22.36899628252789
-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,225600.0,<1H OCEAN,179777.0,45823.0,20.311613475177303
-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,173800.0,<1H OCEAN,235836.02,62036.01999999999,35.69391254315305
-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,71300.0,INLAND,82306.0,11006.0,15.436185133239832
-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,276600.0,<1H OCEAN,268406.0,8194.0,2.9624005784526393
-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,395300.0,<1H OCEAN,334745.03,60554.96999999997,15.318737667594226
-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,53400.0,INLAND,58937.0,5537.0,10.368913857677903
-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,158200.0,<1H OCEAN,165846.0,7646.0,4.833122629582807
-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,193800.0,<1H OCEAN,208418.0,14618.0,7.542827657378741
-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,271300.0,NEAR BAY,274751.01,3451.0100000000093,1.2720272760781457
-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,67800.0,INLAND,73863.0,6063.0,8.942477876106194
-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,183000.0,<1H OCEAN,175886.0,7114.0,3.8874316939890714
-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,81100.0,INLAND,99174.0,18074.0,22.286066584463626
-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,92400.0,<1H OCEAN,136067.0,43667.0,47.25865800865801
-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,161000.0,INLAND,143221.0,17779.0,11.042857142857143
-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,70600.0,INLAND,72802.0,2202.0,3.1189801699716715
-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,110300.0,INLAND,77821.0,32479.0,29.44605621033545
-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,312300.0,NEAR OCEAN,263093.02,49206.97999999998,15.7563176432917
-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,336300.0,<1H OCEAN,398523.32,62223.32000000001,18.502325304787394
-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,126100.0,INLAND,124625.0,1475.0,1.1697065820777162
-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,296100.0,<1H OCEAN,314265.01,18165.01000000001,6.134755150287068
-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,100400.0,INLAND,99761.0,639.0,0.6364541832669323
-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,283600.0,NEAR OCEAN,237187.0,46413.0,16.36565585331453
-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,213200.0,<1H OCEAN,269852.0,56652.0,26.572232645403375
-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,128600.0,INLAND,115764.0,12836.0,9.981337480559874
-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,130000.0,<1H OCEAN,125712.0,4288.0,3.298461538461538
-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,241900.0,<1H OCEAN,251978.0,10078.0,4.166184373708144
-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,111500.0,INLAND,123511.0,12011.0,10.77219730941704
-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,197100.0,NEAR BAY,211893.01,14793.01000000001,7.505332318619995
-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,69800.0,NEAR OCEAN,99320.0,29520.0,42.29226361031518
-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,240800.0,<1H OCEAN,225222.01,15577.98999999999,6.469264950166109
-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,304700.0,<1H OCEAN,351553.03,46853.03000000003,15.376773875943561
-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,188800.0,<1H OCEAN,192386.0,3586.0,1.899364406779661
-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,500001.0,<1H OCEAN,499831.99,169.0100000000093,0.03380193239613707
-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,48000.0,INLAND,53903.0,5903.0,12.297916666666667
-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,112500.0,INLAND,65605.0,46895.0,41.684444444444445
-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,140600.0,INLAND,87657.0,52943.0,37.65504978662874
-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,101300.0,INLAND,106148.0,4848.0,4.785784797630799
-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,112500.0,<1H OCEAN,155439.0,42939.0,38.168
-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,177000.0,INLAND,113629.0,63371.0,35.80282485875706
-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,181900.0,<1H OCEAN,154602.0,27298.0,15.007146783947222
-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,56100.0,INLAND,57000.0,900.0,1.6042780748663104
-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,327500.0,<1H OCEAN,285653.0,41847.0,12.777709923664121
-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,265500.0,<1H OCEAN,235956.01,29543.98999999999,11.127679849340863
-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,60500.0,INLAND,66520.0,6020.0,9.950413223140496
-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,126000.0,INLAND,117821.0,8179.0,6.49126984126984
-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,500001.0,NEAR OCEAN,498570.98,1430.0200000000186,0.2860034279931477
-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,500001.0,<1H OCEAN,491593.45,8407.549999999988,1.6815066369867238
-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,297300.0,<1H OCEAN,285234.0,12066.0,4.058526740665994
-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,446600.0,<1H OCEAN,445279.32,1320.679999999993,0.2957187639946245
-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,330900.0,<1H OCEAN,324346.01,6553.989999999991,1.9806557872468995
-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,185000.0,<1H OCEAN,226031.0,41031.0,22.178918918918917
-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,293900.0,NEAR OCEAN,218472.01,75427.98999999999,25.664508336168762
-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,61900.0,INLAND,76169.98,14269.979999999996,23.05327948303715
-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,183100.0,NEAR BAY,170769.0,12331.0,6.734571272528673
-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,55000.0,INLAND,80072.0,25072.0,45.585454545454546
-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,105000.0,INLAND,120628.0,15628.0,14.883809523809525
-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,127500.0,INLAND,181762.0,54262.0,42.55843137254902
-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,107000.0,INLAND,90288.0,16712.0,15.618691588785047
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,132500.0,NEAR BAY,126865.0,5635.0,4.252830188679245
-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,446900.0,NEAR BAY,426353.07,20546.929999999993,4.597657194003131
-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,500001.0,<1H OCEAN,434850.45,65150.54999999999,13.030083939832119
-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,70800.0,INLAND,117552.0,46752.0,66.03389830508475
-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,177400.0,<1H OCEAN,284221.06,106821.06,60.21480270574971
-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,500001.0,<1H OCEAN,489236.83,10764.169999999984,2.1528296943406082
-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,174200.0,NEAR BAY,196721.0,22521.0,12.928243398392652
-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,238900.0,INLAND,227287.0,11613.0,4.861029719547928
-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,76600.0,INLAND,82515.0,5915.0,7.721932114882507
-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,240400.0,<1H OCEAN,299056.02,58656.02000000002,24.399342762063235
-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,134900.0,INLAND,127964.0,6936.0,5.1415863602668646
-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,112500.0,INLAND,73477.0,39023.0,34.687111111111115
-117.89,33.76,34.0,1050.0,210.0,723.0,201.0,4.8,192700.0,<1H OCEAN,191537.0,1163.0,0.6035288012454593
-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,226800.0,<1H OCEAN,210404.0,16396.0,7.2292768959435625
-117.06,32.58,11.0,2879.0,679.0,2098.0,673.0,3.5125,142400.0,NEAR OCEAN,137053.0,5347.0,3.754915730337079
-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1.375,70100.0,INLAND,69027.0,1073.0,1.5306704707560628
-117.31,34.09,34.0,1336.0,345.0,1009.0,311.0,1.608,73700.0,INLAND,72227.0,1473.0,1.9986431478968794
-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,123100.0,INLAND,159041.0,35941.0,29.1965881397238
-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,117000.0,NEAR OCEAN,130150.0,13150.0,11.23931623931624
-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,153600.0,<1H OCEAN,185560.0,31960.0,20.807291666666668
-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,74800.0,INLAND,75361.0,561.0,0.75
-119.17,34.27,18.0,8010.0,1539.0,3982.0,1483.0,4.0905,236500.0,NEAR OCEAN,229598.01,6901.989999999991,2.918389006342491
-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,260400.0,INLAND,236573.0,23827.0,9.15015360983103
-122.23,38.1,46.0,4143.0,895.0,2240.0,847.0,2.4201,92800.0,NEAR BAY,118753.0,25953.0,27.966594827586206
-117.75,34.06,52.0,62.0,9.0,44.0,16.0,0.4999,112500.0,INLAND,327681.35,215181.34999999998,191.2723111111111
-118.27,33.81,42.0,865.0,208.0,811.0,218.0,3.8621,165300.0,<1H OCEAN,172426.0,7126.0,4.310949788263763
-121.32,38.0,21.0,1795.0,482.0,1114.0,472.0,2.0091,101500.0,INLAND,100804.0,696.0,0.6857142857142857
-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,42600.0,INLAND,57944.0,15344.0,36.01877934272301
-122.37,40.54,28.0,2213.0,390.0,1096.0,378.0,3.6923,86900.0,INLAND,104627.0,17727.0,20.399309551208287
-120.39,37.98,52.0,1056.0,274.0,584.0,255.0,2.1513,86700.0,INLAND,102023.0,15323.0,17.673587081891583
-118.33,34.11,48.0,1601.0,464.0,784.0,461.0,3.0642,342900.0,<1H OCEAN,310525.05,32374.95000000001,9.441513560804902
-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,153600.0,<1H OCEAN,158385.0,4785.0,3.115234375
-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,247000.0,<1H OCEAN,153110.0,93890.0,38.012145748987855
-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,72500.0,INLAND,77390.0,4890.0,6.744827586206896
-117.63,33.94,36.0,447.0,95.0,2886.0,85.0,4.2578,183300.0,INLAND,189713.1,6413.100000000006,3.4986906710310994
-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,170600.0,<1H OCEAN,221922.02,51322.01999999999,30.083247362250876
-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,266300.0,<1H OCEAN,263275.0,3025.0,1.1359369132557267
-117.69,33.66,5.0,4246.0,689.0,1933.0,722.0,6.9501,225700.0,<1H OCEAN,312875.02,87175.02000000002,38.624288879042986
-118.35,33.88,25.0,1459.0,362.0,1150.0,354.0,3.35,237500.0,<1H OCEAN,244909.0,7409.0,3.1195789473684212
-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,321100.0,INLAND,347634.0,26534.0,8.26346932419807
-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,170200.0,INLAND,170342.0,142.0,0.08343125734430083
-118.21,34.1,40.0,1684.0,316.0,795.0,330.0,5.2723,218300.0,<1H OCEAN,330874.03,112574.03000000003,51.56849748053139
-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,52000.0,INLAND,61389.0,9389.0,18.05576923076923
-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,115000.0,INLAND,139952.0,24952.0,21.69739130434783
-117.75,34.06,44.0,477.0,135.0,502.0,117.0,2.0156,112500.0,INLAND,99942.0,12558.0,11.162666666666667
-114.61,33.62,16.0,1187.0,261.0,1115.0,242.0,2.1759,61500.0,INLAND,63442.0,1942.0,3.1577235772357723
-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,164600.0,INLAND,177922.0,13322.0,8.09356014580802
-118.11,34.05,23.0,3436.0,565.0,1729.0,529.0,5.9941,266700.0,<1H OCEAN,291987.01,25287.01000000001,9.481443569553809
